feature_set,label,split,roc_auc,pr_auc,num_users,seed,candidate,feature_group,num_features
Baseline,retention_7d,val,0.6490849583752539,0.458122964613479,2783,123,Baseline,baseline,15
Baseline,retention_7d,test,0.6593116915122619,0.45396101149001256,2805,123,Baseline,baseline,15
Baseline,retention_14d,val,0.7037337992870021,0.341009812466543,2318,123,Baseline,baseline,15
Baseline,retention_14d,test,0.6797331328697613,0.34310004411912565,2303,123,Baseline,baseline,15
GRU h128 l1 max,retention_7d,val,0.6702786244106449,0.4741709809485197,2783,123,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_7d,test,0.6790976371537207,0.4800015633002794,2805,123,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_7d,val,0.6681825915843048,0.4705574365377799,2783,123,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_7d,test,0.6810434144084334,0.4847182088768008,2805,123,GRU h128 l1 max,baseline_plus_embedding,143
GRU h128 l1 max,retention_14d,val,0.6949181928006704,0.3633259773334212,2318,123,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_14d,test,0.694888178913738,0.361057460361199,2303,123,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_14d,val,0.6967691740058071,0.363265293703893,2318,123,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_14d,test,0.6996516945436322,0.36058272271421826,2303,123,GRU h128 l1 max,baseline_plus_embedding,143
GRU h256 l1 max,retention_7d,val,0.6752943076680279,0.4868390145929321,2783,123,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_7d,test,0.6850217273221075,0.4886382419911281,2805,123,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_7d,val,0.667284996350437,0.4839865854111954,2783,123,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_7d,test,0.6899700997847386,0.49884509476354766,2805,123,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l1 max,retention_14d,val,0.7109933475735488,0.37857905355417265,2318,123,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_14d,test,0.7045179477541815,0.3661310422861723,2303,123,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_14d,val,0.7086265596059137,0.36881578544753896,2318,123,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_14d,test,0.7033991104428992,0.3584895485590861,2303,123,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_7d,val,0.6685660422954764,0.4806082480785129,2783,123,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_7d,test,0.6801223922183998,0.4767406504951742,2805,123,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_7d,val,0.6589181264918822,0.4680804810560364,2783,123,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_7d,test,0.6808409781318526,0.47227123494066925,2805,123,GRU h256 l2 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_14d,val,0.7111303201827288,0.38232557198872696,2318,123,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_14d,test,0.6974741589926705,0.36133600468381083,2303,123,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_14d,val,0.7047765186992292,0.3640360440658357,2318,123,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_14d,test,0.7001916932907348,0.36485534711511997,2303,123,GRU h256 l2 max,baseline_plus_embedding,271
LSTM h128 l1 max,retention_7d,val,0.6629807312935235,0.472583059882994,2783,123,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_7d,test,0.6929708089403906,0.4943924386027978,2805,123,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_7d,val,0.6672449251346393,0.47494131526410055,2783,123,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_7d,test,0.6970220492083611,0.5090627124260365,2805,123,LSTM h128 l1 max,baseline_plus_embedding,143
LSTM h128 l1 max,retention_14d,val,0.7036560580763864,0.38113279179169457,2318,123,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_14d,test,0.6927670237424043,0.3616268432432349,2303,123,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_14d,val,0.7040805497660976,0.37703897075428255,2318,123,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_14d,test,0.69941364405187,0.3691334635926863,2303,123,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline,retention_7d,val,0.6476226672387604,0.4623540267141974,2783,202,Baseline,baseline,15
Baseline,retention_7d,test,0.6624959764218319,0.45569107521358393,2805,202,Baseline,baseline,15
Baseline,retention_14d,val,0.6970320133369365,0.3417795499295958,2318,202,Baseline,baseline,15
Baseline,retention_14d,test,0.6773826974879409,0.34445975457393085,2303,202,Baseline,baseline,15
GRU h128 l1 max,retention_7d,val,0.6655514539070052,0.47024137249749204,2783,202,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_7d,test,0.6763364566358863,0.4714915728565298,2805,202,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_7d,val,0.6702397861553333,0.4719413627814726,2783,202,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_7d,test,0.6750652574084133,0.4806378295398597,2805,202,GRU h128 l1 max,baseline_plus_embedding,143
GRU h128 l1 max,retention_14d,val,0.6972775768434847,0.37152776273894833,2318,202,GRU h128 l1 max,embedding,128
GRU h128 l1 max,retention_14d,test,0.7017465388711395,0.3568320457327634,2303,202,GRU h128 l1 max,embedding,128
Baseline + GRU h128 l1 max,retention_14d,val,0.6915629808694923,0.3696764129642514,2318,202,GRU h128 l1 max,baseline_plus_embedding,143
Baseline + GRU h128 l1 max,retention_14d,test,0.6938269748794086,0.35402976662009333,2303,202,GRU h128 l1 max,baseline_plus_embedding,143
GRU h256 l1 max,retention_7d,val,0.6662283492138644,0.476665882891815,2783,202,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_7d,test,0.688068959100328,0.494340567356839,2805,202,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_7d,val,0.6684408968061392,0.4869642076669791,2783,202,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_7d,test,0.7000956857183094,0.4983849297703222,2805,202,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l1 max,retention_14d,val,0.6983548479048743,0.3669329081400893,2318,202,GRU h256 l1 max,embedding,256
GRU h256 l1 max,retention_14d,test,0.7024970243688529,0.3639682567760112,2303,202,GRU h256 l1 max,embedding,256
Baseline + GRU h256 l1 max,retention_14d,val,0.7013966270186492,0.3736402594557632,2318,202,GRU h256 l1 max,baseline_plus_embedding,271
Baseline + GRU h256 l1 max,retention_14d,test,0.7045141890622064,0.3661455535919859,2303,202,GRU h256 l1 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_7d,val,0.6675587135783472,0.4733042272425797,2783,202,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_7d,test,0.6856478966745126,0.4835616396927325,2805,202,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_7d,val,0.6669033950799945,0.47653095136089973,2783,202,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_7d,test,0.6797244351902146,0.4882357944701305,2805,202,GRU h256 l2 max,baseline_plus_embedding,271
GRU h256 l2 max,retention_14d,val,0.7069236568971878,0.3734539771548997,2318,202,GRU h256 l2 max,embedding,256
GRU h256 l2 max,retention_14d,test,0.6862933032637977,0.3590853710268741,2303,202,GRU h256 l2 max,embedding,256
Baseline + GRU h256 l2 max,retention_14d,val,0.7056205661287716,0.380722243429168,2318,202,GRU h256 l2 max,baseline_plus_embedding,271
Baseline + GRU h256 l2 max,retention_14d,test,0.6978187057570632,0.36504218358660956,2303,202,GRU h256 l2 max,baseline_plus_embedding,271
LSTM h128 l1 max,retention_7d,val,0.6643628799984218,0.4625187546360102,2783,202,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_7d,test,0.6882431045929144,0.4843035299318572,2805,202,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_7d,val,0.6710544647965122,0.47189933364552383,2783,202,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_7d,test,0.6859264037258334,0.48859887278241687,2805,202,LSTM h128 l1 max,baseline_plus_embedding,143
LSTM h128 l1 max,retention_14d,val,0.7042236923126282,0.37531613920116813,2318,202,LSTM h128 l1 max,embedding,128
LSTM h128 l1 max,retention_14d,test,0.698211489068471,0.3554113633149494,2303,202,LSTM h128 l1 max,embedding,128
Baseline + LSTM h128 l1 max,retention_14d,val,0.7072000700904884,0.3710532085724672,2318,202,LSTM h128 l1 max,baseline_plus_embedding,143
Baseline + LSTM h128 l1 max,retention_14d,test,0.7007128985779615,0.3714427397173907,2303,202,LSTM h128 l1 max,baseline_plus_embedding,143
